Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00483011984357595,2.06195437119083E-05,0.0677874851114229,0,0,0,13.677075451441,0.542267780300335,3.98881994189506E-05,0.0034002923351286,0.746352447354667,3.10382238991715E-05,1.27167600252342,0,0,0,0,0,0,package://leondroids_amr/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leondroids_amr/meshes/base_link.STL,,Chassy-1;AlumSheets-1;Assem5-1/24HS40-5004D-E1000.step-1;Assem5-1/EG24-G10.STEP-1;Assem5-1/Nema24_Bracket_holder.step-1;Assem5-1/MotorBracket-1;Assem5-2/24HS40-5004D-E1000.step-1;Assem5-2/EG24-G10.STEP-1;Assem5-2/Nema24_Bracket_holder.step-1;Assem5-2/MotorBracket-1;2 inch  WHEEL (SWIVEL) without BRAKES  ASSY-1/2 inch  WHEEL UPPER BASE (SWIVEL) with BRAKES-1;2 inch  WHEEL (SWIVEL) without BRAKES  ASSY-2/2 inch  WHEEL UPPER BASE (SWIVEL) with BRAKES-1;2 inch  WHEEL (SWIVEL) without BRAKES  ASSY-3/2 inch  WHEEL UPPER BASE (SWIVEL) with BRAKES-1;2 inch  WHEEL (SWIVEL) without BRAKES  ASSY-4/2 inch  WHEEL UPPER BASE (SWIVEL) with BRAKES-1;PowerEnclosure-1;CL57T Closed Loop Stepper Driver v1.step-3;CL57T Closed Loop Stepper Driver v1.step-1,base_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lidar_link,-7.6839E-05,5.9642E-05,-0.064095,0,0,0,0.12031,4.7029E-05,1.4518E-07,-8.1043E-08,4.7398E-05,8.0719E-08,7.1234E-05,0,0,0,0,0,0,package://leondroids_amr/meshes/lidar_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://leondroids_amr/meshes/lidar_link.STL,,LakiBeam_1S-3,lidar_cs,lidar_axis,lidar_joint,fixed,0.3523,0,0.16648,0,0,0,base_link,0,0,0,,,,,,,,,,,,
imu_link,0.00044188,-0.00010543,-0.0015868,0,0,0,0.00098313,2.7278E-08,1.8646E-11,1.8314E-11,4.8045E-08,1.8158E-12,7.4856E-08,0,0,0,0,0,0,package://leondroids_amr/meshes/imu_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://leondroids_amr/meshes/imu_link.STL,,Adafruit_BNO055-1,imu_cs,imu_axis,imu_joint,fixed,0.19937,-0.00044,0.03105,0,0,0,base_link,0,0,0,,,,,,,,,,,,
right_wheel_link,-1.0226E-06,0.019411,1.7151E-05,0,0,0,1.1389,0.0030012,1.0458E-08,-5.6941E-06,0.0057554,-2.0367E-07,0.0030059,0,0,0,0,0,0,package://leondroids_amr/meshes/right_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://leondroids_amr/meshes/right_wheel_link.STL,,Assem5-1/Wheel-1;Assem5-1/Part1-1,right_wheel_cs,right_wheel_axis,right_wheel_joint,continuous,-0.00025793,-0.3,0.0719,0,0,0,base_link,0,1,0,,,,,,,,,,,,
left_wheel_link,7.7226E-07,-0.019411,1.717E-05,0,0,0,1.1389,0.0030011,1.0651E-08,5.1479E-06,0.0057554,2.0365E-07,0.003006,0,0,0,0,0,0,package://leondroids_amr/meshes/left_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://leondroids_amr/meshes/left_wheel_link.STL,,Assem5-2/Wheel-1;Assem5-2/Part1-1,left_wheel_cs,left_wheel_axis,left_wheel_joint,continuous,0,0.3,0.0719,0,0,0,base_link,0,1,0,,,,,,,,,,,,
rb_swivel_link,-0.0055199,0.00019164,-0.0066169,0,0,0,0.011291,4.0608E-06,-7.8959E-09,-8.6886E-07,3.833E-06,3.0127E-08,4.4634E-06,0,0,0,0,0,0,package://leondroids_amr/meshes/rb_swivel_link.STL,0.29412,0.29412,0.29412,1,0,0,0,0,0,0,package://leondroids_amr/meshes/rb_swivel_link.STL,,2 inch  WHEEL (SWIVEL) without BRAKES  ASSY-1/2 inch  WHEEL BASE (SWIVEL) without BRAKES-1,rb_castor_top_cs,rb_castor_top_axis,rb_swivel_joint,continuous,-0.3347,-0.225,0.0302,0,0,0,base_link,0,0,1,,,,,,,,,,,,
rb_wheel_link,-8.7993E-07,-0.021981,-8.5285E-07,0,0,0,0.047365,9.5374E-06,-3.8214E-10,4.6996E-10,1.4229E-05,-3.7038E-10,9.5374E-06,0,0,0,0,0,0,package://leondroids_amr/meshes/rb_wheel_link.STL,0.29412,0.29412,0.29412,1,0,0,0,0,0,0,package://leondroids_amr/meshes/rb_wheel_link.STL,,2 inch  WHEEL (SWIVEL) without BRAKES  ASSY-1/2 inch  WHEEL-1,rb_castor_side_cs,rb_castor_side_axis,rb_wheel_joint,continuous,-0.022221,0.022786,-0.033,0,0,-0.034766,rb_swivel_link,0,1,0,,,,,,,,,,,,
lb_swivel_link,-0.0055198,0.00019493,-0.0066169,0,0,0,0.011291,4.0608E-06,-8.0318E-09,-8.6884E-07,3.833E-06,3.0645E-08,4.4634E-06,0,0,0,0,0,0,package://leondroids_amr/meshes/lb_swivel_link.STL,0.29412,0.29412,0.29412,1,0,0,0,0,0,0,package://leondroids_amr/meshes/lb_swivel_link.STL,,2 inch  WHEEL (SWIVEL) without BRAKES  ASSY-3/2 inch  WHEEL BASE (SWIVEL) without BRAKES-1,lb_castor_top_cs,lb_castor_top_axis,lb_swivel_joint,continuous,-0.3347,0.225,0.0302,0,0,0,base_link,0,0,1,,,,,,,,,,,,
lb_wheel_link,-0.00077642,-0.021967,9.9103E-07,0,0,0,0.047365,9.5431E-06,1.6607E-07,4.6225E-10,1.4223E-05,4.1431E-10,9.5375E-06,0,0,0,0,0,0,package://leondroids_amr/meshes/lb_wheel_link.STL,0.29412,0.29412,0.29412,1,0,0,0,0,0,0,package://leondroids_amr/meshes/lb_wheel_link.STL,,2 inch  WHEEL (SWIVEL) without BRAKES  ASSY-3/2 inch  WHEEL-1,lb_castor_side_cs,lb_castor_side_axis,lb_wheel_joint,continuous,-0.022208,0.022799,-0.033,0,0,0,lb_swivel_link,0.035355,0.99937,0,,,,,,,,,,,,
rf_swivel_link,-0.0055211,0.00015123,-0.0066169,0,0,0,0.011291,4.0609E-06,-6.2271E-09,-8.6906E-07,3.8328E-06,2.3766E-08,4.4634E-06,0,0,0,0,0,0,package://leondroids_amr/meshes/rf_swivel_link.STL,0.29412,0.29412,0.29412,1,0,0,0,0,0,0,package://leondroids_amr/meshes/rf_swivel_link.STL,,2 inch  WHEEL (SWIVEL) without BRAKES  ASSY-4/2 inch  WHEEL BASE (SWIVEL) without BRAKES-1,rf_castor_top_cs,rf_castor_top_axis,rf_swivel_joint,continuous,0.3357,-0.225,0.0302,0,0,0,base_link,0,0,1,,,,,,,,,,,,
rf_wheel_link,-0.00060249,-0.021973,9.9103E-07,0,0,0,0.047365,9.5408E-06,1.29E-07,4.5895E-10,1.4225E-05,4.1796E-10,9.5375E-06,0,0,0,0,0,0,package://leondroids_amr/meshes/rf_wheel_link.STL,0.29412,0.29412,0.29412,1,0,0,0,0,0,0,package://leondroids_amr/meshes/rf_wheel_link.STL,,2 inch  WHEEL (SWIVEL) without BRAKES  ASSY-4/2 inch  WHEEL-1,rf_castor_side_cs,rf_castor_side_axis,rf_wheel_joint,continuous,-0.022388,0.022623,-0.033,0,0,0,rf_swivel_link,0.027443,0.99962,0,,,,,,,,,,,,
lf_swivel_link,-0.0055186,0.00022575,-0.0066169,0,0,0,0.011291,4.0607E-06,-9.3037E-09,-8.6866E-07,3.8331E-06,3.5496E-08,4.4634E-06,0,0,0,0,0,0,package://leondroids_amr/meshes/lf_swivel_link.STL,0.29412,0.29412,0.29412,1,0,0,0,0,0,0,package://leondroids_amr/meshes/lf_swivel_link.STL,,2 inch  WHEEL (SWIVEL) without BRAKES  ASSY-2/2 inch  WHEEL BASE (SWIVEL) without BRAKES-1,lf_castor_top_cs,lf_castor_top_axis,lf_swivel_joint,continuous,0.3347,0.225,0.0302,0,0,0,base_link,0,0,1,,,,,,,,,,,,
lf_wheel_link,-0.00090101,-0.021962,-1.8211E-07,0,0,0,0.047365,9.5457E-06,1.9133E-07,1.3484E-10,1.4221E-05,-8.4674E-11,9.5369E-06,0,0,0,0,0,0,package://leondroids_amr/meshes/lf_wheel_link.STL,0.29412,0.29412,0.29412,1,0,0,0,0,0,0,package://leondroids_amr/meshes/lf_wheel_link.STL,,2 inch  WHEEL (SWIVEL) without BRAKES  ASSY-2/2 inch  WHEEL-1,lf_castor_side_cs,lf_castor_side_axis,lf_wheel_joint,continuous,-0.02208,0.022923,-0.033,0,0,0,lf_swivel_link,0.040935,0.99916,0,,,,,,,,,,,,
